sample,beta,theta,date,new_infections,S,I,R,V
437,4.005003087975532,0.15410375333879664,2020-11-01,7.789712355829863,3878808.1625891794,12.025572478421552,50424008.70964291,29697171.102195438
437,4.005003087975532,0.15410375333879664,2020-12-01,2.223962734428226,3324846.506642825,3.634792869402615,50424019.324385256,30251130.534179058
438,4.005003087975532,0.15410375333879664,2019-10-01,1757.5055965783492,28798653.564851075,1886.2203643392215,50400968.41856557,4798491.796219005
438,4.005003087975532,0.15410375333879664,2019-11-01,2589.814473393083,24683128.770879023,2811.104273607354,50402633.3491297,8911426.775717665
438,4.005003087975532,0.15410375333879664,2019-12-01,3308.046683299484,21154652.316700313,3637.8430924830836,50405114.65699412,12436595.183213074
438,4.005003087975532,0.15410375333879664,2020-01-01,3668.8990413030997,18129741.14685082,4095.6877592949454,50408325.71136861,15457837.454021264
438,4.005003087975532,0.15410375333879664,2020-02-01,3539.970228885103,15536967.399972472,4020.472901388016,50411940.89645541,18047071.230670728
438,4.005003087975532,0.15410375333879664,2020-03-01,2978.004423709892,13315047.577634381,3449.682951805267,50415489.6908287,20266013.04858511
438,4.005003087975532,0.15410375333879664,2020-04-01,2189.82676307547,11411243.67671261,2594.540690270817,50418534.65985332,22167627.122743808
438,4.005003087975532,0.15410375333879664,2020-05-01,1411.5301956126027,9780113.48026598,1715.9195457927767,50420824.81119341,23797345.788994826
438,4.005003087975532,0.15410375333879664,2020-06-01,800.104327187081,8382547.699173018,1001.414577384315,50422339.420489006,25194111.465760604
438,4.005003087975532,0.15410375333879664,2020-07-01,400.224014357254,7184977.83764047,517.7091374906083,50423223.34994326,26391281.103278793
438,4.005003087975532,0.15410375333879664,2020-08-01,177.3492974469802,6158664.088986432,238.0865017367522,50423680.32187646,27417417.502635386
438,4.005003087975532,0.15410375333879664,2020-09-01,69.91049790343534,5279032.746856524,97.8426077454885,50423890.47626835,28296978.93426739
438,4.005003087975532,0.15410375333879664,2020-10-01,24.626626938826025,4525072.926920231,36.10544008801361,50423976.840062946,29050914.127576742
438,4.005003087975532,0.15410375333879664,2020-11-01,7.789712355829863,3878808.1625891794,12.025572478421552,50424008.70964291,29697171.102195438
438,4.005003087975532,0.15410375333879664,2020-12-01,2.223962734428226,3324846.506642825,3.634792869402615,50424019.324385256,30251130.534179058
439,4.005003087975532,0.15410375333879664,2019-10-01,1757.5055965783492,28798653.564851075,1886.2203643392215,50400968.41856557,4798491.796219005
439,4.005003087975532,0.15410375333879664,2019-11-01,2589.814473393083,24683128.770879023,2811.104273607354,50402633.3491297,8911426.775717665
439,4.005003087975532,0.15410375333879664,2019-12-01,3308.046683299484,21154652.316700313,3637.8430924830836,50405114.65699412,12436595.183213074
439,4.005003087975532,0.15410375333879664,2020-01-01,3668.8990413030997,18129741.14685082,4095.6877592949454,50408325.71136861,15457837.454021264
439,4.005003087975532,0.15410375333879664,2020-02-01,3539.970228885103,15536967.399972472,4020.472901388016,50411940.89645541,18047071.230670728
439,4.005003087975532,0.15410375333879664,2020-03-01,2978.004423709892,13315047.577634381,3449.682951805267,50415489.6908287,20266013.04858511
